Global Seamount Database from Kim, S.-S., and P. Wessel (2011), Geophys. J. Int., in revision.
This file contains 24,646 potential seamounts from the entire ocean basins.
The columns are:
Col 1: Longitude (-180/+180). Center of each seamount (in degrees)
Col 2: Latitude (-90/+90). Center of each seamount (in degrees)
Col 3: Estimated azimuth of the basal ellipse (in degree)
Col 4: Estimated major axis of the basal ellipse of each seamount (in km)
Col 5: Estimated minor axis of the basal ellipse of each seamount (in km)
Col 6: Seamount height obtained from the prediced bathymetry TOPO V12 (in m)
Col 7: Maximum amplitude of the Free-Air Gravity Anomaly (in mGal)
Col 8: Maximum amplitude of the Vertical Gravity Gradient Anomaly (in Eotvos)
Col 9: Regional depth of each seamount (in m)
Col 10: Age of underlying seafloor from the AGE 3.2 grid (in Myr)
Col 11: ID for each seamount (plate_###)
For explanation of modeling and notations, please see our GJI paper

Longitude	Latitude	Azimuth	Major	Minor	Height	FAA	VGG	Depth	CrustAge	ID
-09.82358	-06.09761	52.0	18.6	13.0	189.1	26.5	37.0	-3306.4	10.2	KW-00099
-11.75043	-08.61115	88.5	27.3	11.3	539.4	21.0	33.2	-3103.6	10.7	KW-00100
-10.78535	-07.30413	125.8	18.0	10.7	383.1	28.2	32.5	-3556.1	17.1	KW-00101
-10.87561	-08.07820	94.5	19.0	11.1	389.9	20.4	33.0	-3609.8	15.7	KW-00102
03.18242	-05.74670	66.1	23.1	15.0	4754.4	156.8	219.2	-4730.7	92.0	KW-00103
01.76248	-05.41793	88.7	25.2	14.2	3496.3	164.3	213.8	-3942.6	84.2	KW-00104
01.17233	-05.49994	-47.2	21.8	11.8	3606.0	143.8	200.8	-3653.1	81.8	KW-00105
02.54504	-05.30292	-77.9	22.5	14.4	4988.6	148.6	219.2	-5077.6	88.3	KW-00106
00.93669	-07.95905	66.3	22.7	18.5	4451.4	210.1	210.6	-4893.0	79.3	KW-00107
01.53771	-08.42190	-14.8	18.9	16.1	4011.5	110.7	190.8	-5159.8	82.9	KW-00108
03.57186	-04.58656	-43.7	20.4	16.8	4148.8	135.4	188.1	-4767.9	94.2	KW-00109
01.20216	-06.47825	24.6	31.5	13.4	4095.9	170.6	157.2	-4135.9	81.0	KW-00110
04.66549	-05.25328	-63.5	19.5	14.8	3141.8	104.0	169.2	-4833.9	100.1	KW-00111
00.72133	-08.50971	-62.4	19.0	16.4	3777.3	116.0	179.9	-4986.6	78.0	KW-00112
00.96990	-07.79905	13.6	20.5	14.2	2951.4	175.8	150.0	-4105.6	79.5	KW-00113
04.17682	-05.23657	-8.5	14.5	13.2	2589.2	70.9	144.9	-4902.5	97.6	KW-00114
00.79031	-08.21396	-1.2	18.5	12.9	2912.7	103.7	145.6	-4530.9	78.4	KW-00115
